job_id,job_role,experience_level,years_of_experience,education_level,skills,tools_and_technologies,certifications,industry,employment_type,location,company_size,annual_salary_usd,remote_friendly
27,AI Researcher,Senior,9,Bachelor's,"Problem Solving, Git, LaTeX, Statistics, Python","PyTorch, SLURM, Weights & Biases",NeurIPS Paper,Healthcare,Contract,Remote,Large,274094,Yes
28,Computer Vision Engineer,Mid,4,Master's,"Image Processing, Python, PyTorch, Object Detection, Excel",OpenCV,,Automotive,Remote,"Denver, CO",Large,130981,Yes
29,Data Engineer,Mid,6,Bachelor's,"Cloud (AWS/GCP/Azure), Data Warehousing, Pipeline Design, SQL, Mathematics, ETL","Spark, Redshift",GCP Professional Data Engineer,Telecom,Full-time,"Amsterdam, Netherlands",Mid-size,120749,Hybrid
30,Data Analyst,Mid,5,Master's,"Problem Solving, Power BI, Reporting, Excel, NumPy, Statistics, SQL",Power BI,Tableau Desktop Specialist,Retail,Full-time,"Austin, TX",Large,95679,Yes
31,NLP Engineer,Mid,3,Master's,"Deep Learning, Language Models, Python, APIs, Linux, Hugging Face, Excel, Transformers",Hugging Face,Hugging Face Course,Tech,Full-time,"Dublin, Ireland",Mid-size,113275,No
32,Data Analyst,Mid,2,Bachelor's,"Power BI, Reporting, Visualization, Excel, Tableau","Google Sheets, Looker",,Education,Full-time,Washington DC,Startup,91265,Yes
33,AI Researcher,Entry,0,Bachelor's,"Publications, Mathematics, Experimentation, APIs, LaTeX, Machine Learning","SLURM, Weights & Biases, Overleaf",NeurIPS Paper,Finance,Full-time,"Seattle, WA",Startup,111772,No
34,AI Product Manager,Mid,3,Master's,"Communication, Pandas, Stakeholder Management, Agile, NumPy, SQL, Machine Learning","Jira, Mixpanel",PMI-ACP,Finance,Full-time,"Boston, MA",Large,109321,No
35,Data Scientist,Entry,1,Master's,"Pandas, Machine Learning, Problem Solving, Python, Scikit-learn","Spark, MLflow",,Tech,Full-time,"Seattle, WA",Mid-size,87095,No
36,AI Researcher,Mid,2,Master's,"Mathematics, Deep Learning, Research, Publications, Statistics, Algorithm Design, Communication","Overleaf, SLURM",ICLR Paper Publication,Healthcare,Full-time,"Toronto, Canada",Large,130539,Yes
37,AI Researcher,Mid,5,Bachelor's,"Statistics, Publications, Pandas, Deep Learning, Research, Algorithm Design, Python","JAX, Weights & Biases",NeurIPS Paper,Healthcare,Full-time,Remote,Large,160986,Yes
38,AI Product Manager,Mid,2,PhD,"NumPy, Machine Learning, Linux, Agile, Communication","Confluence, Figma",Google PM Certificate,Finance,Full-time,"Austin, TX",Mid-size,107698,Yes
39,NLP Engineer,Senior,12,Master's,"Transformers, Mathematics, Language Models, BERT, Hugging Face",NLTK,,Media,Part-time,"Denver, CO",Large,95444,No
40,Quant Researcher,Senior,8,Master's,"Financial Modeling, Statistics, Monte Carlo, Risk Modeling, Git, Pandas, Mathematics","KDB+, QuantLib",CFA Level I,Insurance,Part-time,"Sydney, Australia",Large,157866,Hybrid
41,Data Scientist,Entry,2,Master's,"A/B Testing, Feature Engineering, Pandas, Scikit-learn, Python, Deep Learning, Statistics, Storytelling","MLflow, Spark",Google Professional ML Engineer,Insurance,Internship,"Seattle, WA",Mid-size,30701,No
42,Computer Vision Engineer,Entry,2,Master's,"Object Detection, PyTorch, CUDA, Computer Vision, CNNs","OpenCV, Roboflow, CUDA",AWS ML Specialty,Healthcare,Full-time,"Chicago, IL",Startup,105070,No
43,Data Engineer,Mid,3,Bachelor's,"Pipeline Design, Airflow, Spark, APIs, Communication","Redshift, Airflow",,Healthcare,Full-time,"Paris, France",Mid-size,132807,Yes
44,Data Analyst,Mid,2,PhD,"Pandas, Machine Learning, Excel, SQL, Communication","Looker, Tableau",Google Data Analytics,Healthcare,Contract,"Atlanta, GA",Large,107897,No
45,AI Product Manager,Entry,0,Master's,"Communication, SQL, Strategy, Excel, Data Analysis, Machine Learning, Product Management",Figma,CSPO,Healthcare,Full-time,"Chicago, IL",Mid-size,97023,Hybrid
46,AI Researcher,Mid,6,Master's,"Experimentation, Publications, Python, Deep Learning, NumPy, LaTeX, Machine Learning","Weights & Biases, JAX, SLURM",ICLR Paper Publication,Defense,Full-time,"New York, NY",Mid-size,128099,No
47,Quant Researcher,Mid,5,Bachelor's,"Communication, Stochastic Calculus, Statistics, Derivatives Pricing, Financial Modeling, R, Monte Carlo, Python","QuantLib, Bloomberg, R",CFA Level I,Finance,Full-time,Washington DC,Large,145220,No
48,AI Researcher,Senior,10,Bachelor's,"LaTeX, Deep Learning, Experimentation, Publications, Pandas, Research","PyTorch, Overleaf, SLURM",NeurIPS Paper,Academia,Contract,Singapore,Mid-size,226541,Yes
49,Data Engineer,Mid,6,Bachelor's,"Data Warehousing, Hadoop, Cloud (AWS/GCP/Azure), Spark, ETL, Kafka, Python, Airflow","Airflow, Redshift",GCP Professional Data Engineer,Finance,Remote,"Toronto, Canada",Large,144058,Yes
50,Data Scientist,Entry,0,Master's,"Scikit-learn, Deep Learning, Python, Machine Learning, A/B Testing, Pandas, Linux, Storytelling",MLflow,AWS ML Specialty,Insurance,Full-time,"Seattle, WA",Mid-size,90494,Yes
51,Quant Researcher,Senior,12,PhD,"Derivatives Pricing, Git, Python, Pandas, Mathematics, Financial Modeling",Python,,Hedge Fund,Full-time,"Seattle, WA",Large,284439,No
52,Data Engineer,Mid,2,Master's,"Data Warehousing, Airflow, Mathematics, ETL, Pipeline Design, SQL, Hadoop","Spark, Airflow, dbt",,Telecom,Full-time,"Denver, CO",Mid-size,115003,Hybrid
53,Quant Researcher,Mid,2,Master's,"Financial Modeling, Derivatives Pricing, Monte Carlo, Statistics, R","Python, KDB+",,Consulting,Full-time,"Austin, TX",Large,157884,Hybrid
54,Quant Researcher,Senior,10,Bachelor's,"Python, Stochastic Calculus, Backtesting, Mathematics, R","QuantLib, Python, Bloomberg",FRM,Consulting,Full-time,"Toronto, Canada",Mid-size,247554,Yes
55,ML Engineer,Mid,2,Master's,"Machine Learning, Python, Kubernetes, APIs, Model Deployment, Cloud (AWS/GCP/Azure), Docker, SQL","TensorFlow, Docker",GCP Professional ML,Automotive,Full-time,"Bangalore, India",Large,137143,Yes
56,ML Engineer,Senior,8,Master's,"APIs, Model Deployment, PyTorch, Scikit-learn, Machine Learning","FastAPI, PyTorch, Kubernetes",Azure AI Engineer,Tech,Full-time,"New York, NY",Mid-size,216446,No
57,Data Scientist,Entry,1,Bachelor's,"Scikit-learn, SQL, Deep Learning, Machine Learning, Pandas, Feature Engineering","scikit-learn, Tableau, MLflow",,Retail,Remote,Singapore,Large,76857,Yes
58,Data Engineer,Mid,3,Master's,"Data Warehousing, ETL, Kafka, Mathematics, Airflow, Hadoop, Cloud (AWS/GCP/Azure), Python","Redshift, Airflow, dbt",Databricks Associate,Tech,Contract,"Sydney, Australia",Large,153750,Yes
59,Quant Researcher,Mid,5,PhD,"SQL, Derivatives Pricing, Financial Modeling, Monte Carlo, Stochastic Calculus, Python, Risk Modeling","R, Bloomberg",CFA Level I,Hedge Fund,Contract,"Paris, France",Large,189599,Yes
60,Data Scientist,Senior,7,PhD,"A/B Testing, Pandas, Scikit-learn, Feature Engineering, Storytelling, Python, SQL","Tableau, scikit-learn, MLflow",Google Professional ML Engineer,Tech,Remote,Remote,Large,165197,Yes
61,Computer Vision Engineer,Senior,12,Master's,"CUDA, Excel, PyTorch, Python, Cloud (AWS/GCP/Azure), Computer Vision, Image Processing, Mathematics",PyTorch,NVIDIA DLI,Tech,Contract,Remote,Startup,229749,Yes
62,AI Researcher,Senior,14,Bachelor's,"Problem Solving, Deep Learning, Research, PyTorch, Statistics","Weights & Biases, SLURM",,Defense,Full-time,"Sydney, Australia",Mid-size,222526,Yes
63,ML Engineer,Senior,15,Bachelor's,"Scikit-learn, APIs, PyTorch, Kubernetes, Docker, Cloud (AWS/GCP/Azure), Statistics, CI/CD","TensorFlow, Docker",GCP Professional ML,Tech,Contract,"Amsterdam, Netherlands",Mid-size,210246,Yes
64,Data Engineer,Entry,1,Master's,"SQL, Data Warehousing, Pipeline Design, Cloud (AWS/GCP/Azure), ETL, Kafka",Spark,Databricks Associate,Tech,Full-time,"Sydney, Australia",Large,84340,No
65,Quant Researcher,Mid,5,PhD,"Risk Modeling, Financial Modeling, Mathematics, Deep Learning, R, Python, Derivatives Pricing, Backtesting",Python,FRM,Hedge Fund,Full-time,"Seattle, WA",Mid-size,133694,No
66,ML Engineer,Entry,2,Master's,"CI/CD, APIs, PyTorch, Machine Learning, Kubernetes","TensorFlow, FastAPI",Azure AI Engineer,Healthcare,Full-time,"Atlanta, GA",Mid-size,81564,Hybrid
67,Data Analyst,Entry,0,Master's,"Power BI, Cloud (AWS/GCP/Azure), Problem Solving, Statistics, Tableau, Visualization, Data Cleaning, Python","Looker, Google Sheets",,Education,Full-time,"London, UK",Mid-size,63650,Yes
68,AI Researcher,Senior,10,PhD,"Statistics, Publications, Mathematics, Data Analysis, PyTorch, SQL, Experimentation","Weights & Biases, SLURM",ICLR Paper Publication,Tech,Full-time,"London, UK",Mid-size,261127,Yes
69,Data Engineer,Mid,4,PhD,"Data Warehousing, Python, Pipeline Design, Cloud (AWS/GCP/Azure), ETL","Redshift, Kafka, Airflow",Databricks Associate,Logistics,Full-time,"Bangalore, India",Mid-size,147395,Hybrid
70,Data Analyst,Senior,14,Master's,"Mathematics, Python, SQL, Statistics, Deep Learning, Git","Excel, Power BI, Google Sheets",Tableau Desktop Specialist,Marketing,Remote,"Amsterdam, Netherlands",Startup,149482,Yes
71,Data Scientist,Mid,4,PhD,"A/B Testing, Feature Engineering, Machine Learning, Scikit-learn, Pandas, Python, Deep Learning","MLflow, Tableau",,Insurance,Remote,"Chicago, IL",Large,104357,Yes
72,Data Analyst,Mid,5,Master's,"APIs, Business Intelligence, Reporting, SQL, Excel, Power BI, Tableau, Visualization","Looker, Excel, Power BI",Tableau Desktop Specialist,Retail,Full-time,"Austin, TX",Startup,87192,Yes
73,Data Engineer,Mid,2,PhD,"Kafka, Python, Cloud (AWS/GCP/Azure), Airflow, Hadoop, Data Warehousing",Redshift,AWS Data Analytics,Healthcare,Part-time,"London, UK",Large,77574,No
74,Data Analyst,Mid,6,Bachelor's,"Excel, Deep Learning, SQL, Visualization, Power BI, Business Intelligence, NumPy",Power BI,Google Data Analytics,Finance,Full-time,"Seattle, WA",Mid-size,106369,Yes
75,Computer Vision Engineer,Senior,6,Bachelor's,"CNNs, TensorFlow, Mathematics, Deep Learning, CUDA, Object Detection, Python, Image Processing",OpenCV,NVIDIA DLI,Manufacturing,Full-time,"Chicago, IL",Startup,194552,Hybrid
76,Data Scientist,Senior,7,Bachelor's,"Deep Learning, Statistics, Communication, Pandas, SQL","MLflow, Jupyter, Spark",Google Professional ML Engineer,Retail,Part-time,"Denver, CO",Large,104644,Hybrid
77,ML Engineer,Senior,11,PhD,"Kubernetes, Scikit-learn, Git, PyTorch, Machine Learning, Cloud (AWS/GCP/Azure), Python",Docker,,Healthcare,Internship,"Berlin, Germany",Startup,93855,No
78,Quant Researcher,Mid,4,Master's,"Excel, Backtesting, Scikit-learn, Risk Modeling, Stochastic Calculus","KDB+, Python",,Hedge Fund,Full-time,"Sydney, Australia",Mid-size,161552,Yes
79,Data Engineer,Mid,5,Master's,"Data Warehousing, Airflow, SQL, Deep Learning, Linux","Spark, Airflow",GCP Professional Data Engineer,Tech,Full-time,"Paris, France",Large,128758,Yes
80,ML Engineer,Mid,6,Bachelor's,"Kubernetes, PyTorch, Machine Learning, Pandas, Docker","PyTorch, Kubernetes, FastAPI",,Finance,Full-time,"Toronto, Canada",Large,144034,Hybrid
81,Data Analyst,Mid,2,Master's,"Excel, Reporting, Power BI, Visualization, Data Cleaning, Python","Power BI, Excel, Google Sheets",Tableau Desktop Specialist,Finance,Full-time,"Amsterdam, Netherlands",Large,76746,No
82,Computer Vision Engineer,Mid,3,Master's,"Object Detection, TensorFlow, Computer Vision, CNNs, OpenCV, Deep Learning","CUDA, PyTorch, OpenCV",,Defense,Full-time,"Bangalore, India",Large,163223,No
83,ML Engineer,Entry,2,Master's,"Pandas, Model Deployment, Problem Solving, APIs, Kubernetes, Machine Learning, PyTorch","Kubernetes, PyTorch",AWS ML Specialty,Healthcare,Full-time,Washington DC,Large,102617,Hybrid
84,Computer Vision Engineer,Senior,11,Bachelor's,"CNNs, NumPy, Image Processing, Object Detection, PyTorch, Python",PyTorch,,Manufacturing,Full-time,"Seattle, WA",Mid-size,222983,Yes
85,Quant Researcher,Senior,8,Master's,"Python, Mathematics, Risk Modeling, Monte Carlo, NumPy, Backtesting, Statistics, Cloud (AWS/GCP/Azure)","KDB+, R, Python",CFA Level I,Hedge Fund,Contract,"Bangalore, India",Large,302828,Hybrid
86,AI Researcher,Senior,11,Master's,"Deep Learning, SQL, Mathematics, Git, Research, PyTorch","Overleaf, JAX, PyTorch",NeurIPS Paper,Robotics,Full-time,"Dublin, Ireland",Mid-size,192589,Hybrid
87,Data Scientist,Senior,13,Master's,"A/B Testing, Deep Learning, Problem Solving, Pandas, Feature Engineering",Tableau,Google Professional ML Engineer,Tech,Part-time,"Denver, CO",Mid-size,93102,Yes
88,Quant Researcher,Mid,5,PhD,"Risk Modeling, Derivatives Pricing, Stochastic Calculus, Backtesting, R, Mathematics",QuantLib,,Consulting,Internship,"Amsterdam, Netherlands",Large,86270,Yes
89,NLP Engineer,Mid,2,PhD,"Tokenization, Mathematics, BERT, Transformers, Cloud (AWS/GCP/Azure)",NLTK,,Media,Full-time,"Bangalore, India",Startup,138447,Yes
90,AI Product Manager,Mid,2,Master's,"Agile, Roadmapping, Data Analysis, Statistics, Machine Learning, SQL","Jira, Mixpanel, Confluence",,Tech,Full-time,"Dublin, Ireland",Large,104523,Hybrid
91,Quant Researcher,Senior,8,PhD,"Financial Modeling, Monte Carlo, NumPy, Derivatives Pricing, Risk Modeling, R, Mathematics, Python","Bloomberg, QuantLib",FRM,Finance,Remote,"Chicago, IL",Large,303037,Yes
92,Computer Vision Engineer,Senior,6,Bachelor's,"Data Analysis, PyTorch, Image Processing, Linux, TensorFlow, CNNs, Computer Vision","Roboflow, PyTorch, CUDA",AWS ML Specialty,Automotive,Full-time,Remote,Startup,171380,Yes
93,Computer Vision Engineer,Entry,2,Bachelor's,"Object Detection, PyTorch, CNNs, OpenCV, Data Analysis, CUDA, Deep Learning, Visualization","PyTorch, CUDA, Roboflow",NVIDIA DLI,Retail,Full-time,"Dublin, Ireland",Mid-size,102571,Yes
94,Data Engineer,Mid,3,Master's,"ETL, Spark, Kafka, Cloud (AWS/GCP/Azure), Hadoop, Python","Spark, dbt",,Logistics,Remote,"Amsterdam, Netherlands",Large,141522,Yes
95,AI Researcher,Mid,2,Bachelor's,"LaTeX, Algorithm Design, Statistics, PyTorch, Problem Solving, Publications","Weights & Biases, JAX, SLURM",NeurIPS Paper,Finance,Remote,"Dublin, Ireland",Mid-size,133689,Yes
96,Computer Vision Engineer,Mid,4,Master's,"PyTorch, Mathematics, CNNs, Python, CUDA, Computer Vision",PyTorch,AWS ML Specialty,Defense,Full-time,"Bangalore, India",Mid-size,162344,Yes
97,Computer Vision Engineer,Senior,13,PhD,"Deep Learning, Scikit-learn, Computer Vision, Image Processing, APIs, PyTorch","CUDA, Roboflow, OpenCV",NVIDIA DLI,Tech,Contract,"Toronto, Canada",Mid-size,251948,Yes
98,ML Engineer,Mid,2,PhD,"Cloud (AWS/GCP/Azure), SQL, PyTorch, APIs, Docker","TensorFlow, Docker",,E-commerce,Full-time,"Bangalore, India",Large,111030,Hybrid
99,ML Engineer,Entry,2,Master's,"NumPy, Machine Learning, Docker, Excel, Python",TensorFlow,,Healthcare,Remote,"Berlin, Germany",Startup,93304,Yes
100,Computer Vision Engineer,Mid,2,PhD,"CNNs, Computer Vision, Object Detection, PyTorch, Image Processing, Visualization, OpenCV","PyTorch, CUDA",,Retail,Full-time,"Amsterdam, Netherlands",Large,136710,No
101,Data Scientist,Entry,0,Master's,"Python, A/B Testing, Machine Learning, SQL, Visualization",scikit-learn,,Healthcare,Part-time,"Chicago, IL",Large,45962,Yes
102,Data Engineer,Mid,6,PhD,"SQL, ETL, Machine Learning, Spark, Problem Solving",Spark,AWS Data Analytics,Healthcare,Full-time,"New York, NY",Large,134527,No
103,ML Engineer,Mid,3,PhD,"Scikit-learn, Docker, PyTorch, Kubernetes, NumPy, CI/CD, Cloud (AWS/GCP/Azure)","PyTorch, Kubernetes",GCP Professional ML,Healthcare,Full-time,"Austin, TX",Startup,130202,Hybrid
104,Data Scientist,Mid,4,Master's,"Deep Learning, Feature Engineering, APIs, Storytelling, Statistics, Scikit-learn",Tableau,AWS ML Specialty,E-commerce,Full-time,"Berlin, Germany",Large,131669,No
105,Computer Vision Engineer,Mid,2,Master's,"Excel, TensorFlow, CUDA, Python, CNNs, Mathematics, PyTorch, Image Processing","Roboflow, TensorFlow, OpenCV",NVIDIA DLI,Healthcare,Full-time,"Bangalore, India",Large,127815,No
106,NLP Engineer,Senior,9,Master's,"Transformers, Problem Solving, Deep Learning, APIs, Language Models, NLP, Hugging Face","Hugging Face, spaCy",,Legal,Full-time,"Toronto, Canada",Mid-size,200544,Yes
107,NLP Engineer,Entry,1,Master's,"Hugging Face, Tokenization, NLP, Git, Python",spaCy,,Media,Full-time,"Bangalore, India",Large,92510,Hybrid
108,AI Researcher,Entry,2,Bachelor's,"Python, Algorithm Design, Mathematics, Statistics, Deep Learning","JAX, Overleaf",ICLR Paper Publication,Robotics,Full-time,"Berlin, Germany",Large,106731,No
109,Data Analyst,Mid,6,Bachelor's,"Reporting, Visualization, Tableau, Excel, Cloud (AWS/GCP/Azure), Business Intelligence, Data Cleaning, Statistics","Excel, Tableau, Google Sheets",Google Data Analytics,Finance,Full-time,"Bangalore, India",Startup,102261,Hybrid
110,AI Product Manager,Mid,4,Bachelor's,"User Research, Strategy, Agile, Stakeholder Management, Scikit-learn, SQL, Roadmapping, Product Management","Jira, Confluence, Mixpanel",PMI-ACP,Tech,Remote,"New York, NY",Large,142465,Yes
111,ML Engineer,Mid,5,Bachelor's,"Model Deployment, APIs, Docker, Scikit-learn, Problem Solving, Kubernetes",Kubernetes,,Finance,Contract,Singapore,Large,149030,Hybrid
112,Data Engineer,Mid,4,PhD,"ETL, Python, Airflow, Pipeline Design, Excel, Hadoop, Kafka, Data Warehousing","dbt, Kafka",GCP Professional Data Engineer,E-commerce,Full-time,"Paris, France",Startup,128067,Hybrid
113,Computer Vision Engineer,Mid,6,Master's,"CUDA, OpenCV, TensorFlow, Object Detection, PyTorch","OpenCV, TensorFlow",NVIDIA DLI,Retail,Full-time,"Dublin, Ireland",Large,157287,No
114,Quant Researcher,Mid,5,Master's,"Data Analysis, R, Backtesting, Scikit-learn, Stochastic Calculus",Python,CFA Level I,Hedge Fund,Contract,Singapore,Mid-size,154918,Hybrid
115,Data Engineer,Mid,2,PhD,"Problem Solving, Pipeline Design, Cloud (AWS/GCP/Azure), SQL, Airflow, Pandas, Data Analysis",Redshift,GCP Professional Data Engineer,Finance,Full-time,"Amsterdam, Netherlands",Startup,147839,Hybrid
116,AI Researcher,Mid,6,Bachelor's,"Deep Learning, Statistics, Research, Mathematics, Git, PyTorch, LaTeX","JAX, Weights & Biases",ICLR Paper Publication,Academia,Contract,"San Francisco, CA",Large,170371,Yes
117,NLP Engineer,Mid,3,PhD,"Transformers, Deep Learning, Python, Excel, Tokenization","PyTorch, NLTK",DeepLearning.AI NLP,Healthcare,Full-time,"Paris, France",Large,146144,No
118,AI Researcher,Mid,2,PhD,"Research, Mathematics, Statistics, Publications, Experimentation, Problem Solving","Overleaf, PyTorch",NeurIPS Paper,Defense,Full-time,"Los Angeles, CA",Mid-size,141159,No
119,Data Scientist,Senior,9,PhD,"Machine Learning, Storytelling, Statistics, Pandas, Visualization, Deep Learning, Feature Engineering, SQL","Tableau, MLflow, Spark",Google Professional ML Engineer,Insurance,Remote,Washington DC,Startup,197448,Yes
120,AI Researcher,Mid,5,Bachelor's,"Research, Visualization, Publications, Statistics, LaTeX, Mathematics, Deep Learning, PyTorch","SLURM, JAX, Overleaf",,Healthcare,Full-time,"Austin, TX",Large,147676,Hybrid
121,ML Engineer,Mid,2,PhD,"Model Deployment, Kubernetes, Statistics, Docker, APIs, Mathematics, Cloud (AWS/GCP/Azure), Data Analysis",FastAPI,AWS ML Specialty,Automotive,Contract,"London, UK",Large,166277,No
122,AI Researcher,Entry,2,Master's,"Statistics, Python, APIs, Deep Learning, PyTorch, Publications, Experimentation, LaTeX",SLURM,NeurIPS Paper,Robotics,Contract,"New York, NY",Large,115244,No
123,Computer Vision Engineer,Entry,2,Bachelor's,"OpenCV, Image Processing, Object Detection, Mathematics, Pandas, CUDA, PyTorch, Computer Vision","TensorFlow, Roboflow",,Automotive,Full-time,"London, UK",Large,88649,Yes
124,Data Scientist,Entry,0,Master's,"Storytelling, APIs, Feature Engineering, Deep Learning, Statistics, Machine Learning, Python, SQL","MLflow, Spark, scikit-learn",Google Professional ML Engineer,Insurance,Full-time,"Sydney, Australia",Large,78879,Yes
125,Data Analyst,Mid,2,Master's,"Tableau, SQL, Linux, Statistics, Excel, Communication, Data Cleaning, Business Intelligence",Excel,,Marketing,Contract,"Atlanta, GA",Startup,88715,No
126,Quant Researcher,Mid,4,Bachelor's,"Statistics, Monte Carlo, Communication, Financial Modeling, Risk Modeling, Stochastic Calculus, R","Python, QuantLib",,Consulting,Full-time,"Austin, TX",Large,133847,No
127,ML Engineer,Senior,15,PhD,"Docker, Machine Learning, Linux, Model Deployment, CI/CD, Communication, Problem Solving","PyTorch, Docker",GCP Professional ML,Finance,Contract,"Sydney, Australia",Startup,177771,Yes
128,ML Engineer,Mid,2,Master's,"Kubernetes, Model Deployment, CI/CD, APIs, Python, Visualization","FastAPI, PyTorch, Kubernetes",GCP Professional ML,Automotive,Full-time,Washington DC,Large,130361,Yes
129,AI Product Manager,Mid,3,Bachelor's,"Stakeholder Management, Git, Strategy, SQL, Deep Learning, Roadmapping, Agile","Mixpanel, Figma, Jira",PMI-ACP,E-commerce,Full-time,"New York, NY",Mid-size,122703,Yes
